"","sample_id","3.oxolithocholic_acid","Acetate","alloisolithocholic_acid","Butyrate","cholic_acid","deoxycholic_acid","glycocholic_acid","isodeoxycholic_acid","lithocholic_acid","propionate","succinate","taurocholic_acid","5aminovalerate","allocholic_acid","alpha.muricholic_acid","beta.muricholic_acid","chenodeoxycholic_acid","Glycine","glycochenodeoxycholic_acid","proline","taurochenodeoxycholic_acid","Tyramine","ursocholic_acid","ursodeoxycholic_acid","5hiaa","anthranilic_acid","kynurenic_acid","kynurenine","niacin","Phenylalanine","serotonin","tryptamine","Tryptophan","Tyrosine"
"225","LiverD-129.20",0,2.22,0,0.62,73.576,0.337,2.383,0,0,0.24,1.32,29.351,,,,,,,,,,,,,,,,,,,,,,
"226","LiverD-138.12",127.694,46.39,7.898,3.68,1.016,231.747,1.2,32.748,1834.8,5.29,3.56,0.172,,,,,,,,,,,,,,,,,,,,,,
"227","LiverD-129.18",0.222,22.78,0,0.58,109.116,0.658,2.517,0.044,0.129,2.06,58.11,27.859,,,,,,,,,,,,,,,,,,,,,,
"228","LiverD-129.16",0.265,8.2,0.048,1.86,4.228,0.067,0,0.04,0.009,0.83,0.55,0,,,,,,,,,,,,,,,,,,,,,,
"229","LiverD-119.10",0.028,61.46,0.008,7.4,213.643,0.052,0.367,0.116,0.912,16.64,0.72,1.246,,,,,,,,,,,,,,,,,,,,,,
"230","LiverD-079.02",0.283,55.72,0.008,7.98,0.614,3.988,0,0.154,1.543,13.85,2.32,0,,,,,,,,,,,,,,,,,,,,,,
"231","LiverD-037.03",0.14832619,59.99,0.047813986,8.72,0.838848274,11.67987867,0,0.231310885,12.85409868,14.36,12.22,0,,,,,,,,,,,,,,,,,,,,,,
"232","LiverD-040.02",15.52,28.46,3.386,5.71,1.885,884.648,0.042,90.839,332.298,15.22,0.72,0,,,,,,,,,,,,,,,,,,,,,,
"233","LiverD-002.09",0.586,31.3,0.121,6.2,36.397,0.077,0,0.058,0.615,1.55,3.94,0,,,,,,,,,,,,,,,,,,,,,,
"234","LiverD-042.04",16.023,46.93,12.596,9.08,1.347,92.097,0.269,6.882,174.731,10.03,1.05,0,,,,,,,,,,,,,,,,,,,,,,
"235","LiverD-253.01",39.982,38.97,9.531,11.34,1.425,286.287,3.828,15.798,170.38,10.88,1.85,0.362,,,,,,,,,,,,,,,,,,,,,,
"236","LiverD-252.01",27.541,88.82,35.937,23.24,0.432,146.55,0.18,11.243,276.799,30.75,8.92,0,,,,,,,,,,,,,,,,,,,,,,
"237","LiverD-251.01",108.914,35.25,73.733,20.69,0.988,595.396,0.314,49.941,1269.426,13.49,0.95,0,,,,,,,,,,,,,,,,,,,,,,
"238","LiverD-248.01",0.268,26.55,0,10.87,102.751,0.102,0.014,0.072,0.252,11.85,0,0.392,,,,,,,,,,,,,,,,,,,,,,
"239","LiverD-245.03",0.22,27.13,0.121,0.58,0.418,0.032,2.543,0.042,0.036,20.96,10.55,2.15,,,,,,,,,,,,,,,,,,,,,,
"240","LiverD-245.01",0.18,9.18,0,0.58,0.102,0.006,1.146,0.054,0.023,1.31,4.51,0.939,,,,,,,,,,,,,,,,,,,,,,
"241","LiverD-244.01",0,12.34,0,0.94,101.272,0,0,0,0,0.39,4.03,0,,,,,,,,,,,,,,,,,,,,,,
"242","LiverD-246.03",38.812,33.28,20.755,6.6,0.386,317.375,0,23.22,1072.659,14.24,0.56,0,,,,,,,,,,,,,,,,,,,,,,
"243","LiverD-037.02",0.21100156,67.09,0.023307363,29.28,41.96793052,25.2288319,9.045684077,0.539387788,19.31660452,11.64,51.53,9.741959405,,,,,,,,,,,,,,,,,,,,,,
"244","LiverD-243.01",0,28.59,0,5.76,0.437,0.854,0,0,4.918,15.69,0,0,,,,,,,,,,,,,,,,,,,,,,
"245","LiverD-242.01",3.88,18.87,0.357,2.43,102.543,0.609,0,0,2.672,5.36,0.08,0.438,,,,,,,,,,,,,,,,,,,,,,
"246","LiverD-241.01",0,4.27,0,0.64,0,0,0,0,0.154,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,
"247","LiverD-239.06",0.2,13.54,0,0.74,0.345,0.115,0.924,0.056,0,3.24,21.12,0,,,,,,,,,,,,,,,,,,,,,,
