"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-methyl-4-imidazoleacetate","1H-Indole-3-propanoic acid","2-aminoadipate","2-hydroxy-3-methylpentanoate","2,3-Pyridinedicarboxylate","2,5-Dihydroxybenzoate","3-Hydroxyanthranilate","3-Phenyllactate","39.01_1H-indole","4-acetamidobutanoate","4-imidazoleacetate","4-Imidazoleacrylic acid","Ala","Arg","Asp","citrulline","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","Gln","Gly","His","histamine","homovanillate","I(-)","imidazole propionate","indole-3-lactate","L-(-)-Phenylalanine.1","L-serine","L-threonine","L-tyrosine","L-valine","N-epsilon-acetyl-L-lysine","pipecolic acid","taurine","xanthurenate"
"9019-A_S",55807945,48066,1289531,NA,845783,8378163,2637966,2312813,553,2776067,49904,13596,242395,63285,142127,1965085,17292336,110116,167490360,1101592,153539,29566655,2873496,1180245,13829,107240566,298,4406916,95655577,1288,6069383,98307192,21639,65789,19844390,175772290,5336,20699,280352,NA
"9019-B_S",53706490,49391,1276236,NA,667463,8810808,3142569,4471918,364,3599136,42576,10118,178384,65987,117910,1852736,16365734,100460,170525530,1072792,156539,31116710,2458153,1125381,13708,108264961,710,5442637,95560294,332,5826569,93785732,26050,70035,18606417,180760461,4569,18572,220011,NA
"9019-C_S",45277636,49916,852569,NA,500044,8705654,2431129,209544,172,2707536,52412,10294,208627,93390,111753,1447082,31326218,80327,166430610,990847,154867,28938624,2619395,1107464,15866,102958306,490,4296142,93118648,1116,4489444,95045129,23839,59647,18250894,162600755,4527,20296,214172,NA
"9019-D_S",48190050,47155,1371937,7965119,620476,8243147,2598178,10783763,494,2536725,51566,10224,204385,58776,103981,1734296,22726447,103404,171382767,984896,139104,29627827,2470157,1226345,13115,111331227,NA,3770583,94174768,347,5179522,91733246,23193,55193,17058659,166972382,4958,21243,248760,NA
"9019-E_S",50681534,50756,1078102,2353837,625419,6473524,2653560,2812144,404,1469796,49011,12238,172012,90397,120179,1679772,24702695,101973,148968313,977539,136672,32001491,2528604,1178002,13854,120410068,NA,3267019,81809851,397,4508558,79202488,20794,62804,18263135,156762773,5447,33695,309165,NA
"9017-A_S",71902551,58931,5798,NA,NA,6718434,3771781,1590441,197,1005570,52252,10760,217101,50154,180416,2095950,26014943,94918,135680363,683845,147517,27623414,4333164,1636534,24116,104118234,211,2354659,86518848,1171,3190979,102437367,21825,90792,21535037,129008945,5467,100065,312498,NA
"9017-B_S",66710612,55307,7485,NA,249519,5830153,2061984,2398838,NA,1596968,61983,10888,201881,35564,171166,1767843,17436842,93140,155356267,558310,143026,27203958,3770658,1632236,22757,102991525,336,1646996,81042904,1270,2066757,104623355,24163,81050,19931651,143892971,5706,175359,331944,NA
"9017-C_S",67873946,57659,78618,NA,209232,5825340,3441661,NA,294,696115,55458,11054,227854,58447,119530,1539782,20326191,56179,160248283,1001735,148997,29288830,3885211,1654240,23334,111767558,163,1739238,92742717,1823,1833413,94888141,23753,80010,21602583,152312165,6290,32850,335410,NA
"9017-D_S",58563188,51239,61978,2096573,382892,5962194,2624124,3510622,NA,1075609,60398,10491,180802,48107,138312,1785678,17334711,76792,143849790,515441,106700,30125437,3754028,1516994,19681,95171238,288,1878101,82725214,2191,1656446,98423955,22469,81870,20687212,141505245,5475,223990,259836,NA
"9016-A_S",54702393,55179,6892,NA,320842,4144305,2255779,NA,197,1313499,45187,14022,92406,57418,166440,1955749,15267563,106407,132258195,1459024,140519,25616735,4239207,1385603,23853,110712543,1142,1841024,77411439,446,1159771,84134572,21458,91390,25929261,149159648,4949,23585,246582,149112
