"sample_id","12-keto Lithocholic Acid","13.36_acetic acid","16.89_propanoic acid","19.04_2-methylpropanoic acid","20.13_butanoic acid","26.93_hexanoic acid","3-dehydrocholate","3-oxoLCA","3<U+03B2>-Cholic Acid","3<U+03B2>-Ursodeoxycholic Acid","6-keto Lithocholic Acid","7_DHCA","7-ketolithocholic acid","b-D-Glucopyranosiduronic acid, (3a,5b)-24-[(carboxymethyl)amino]-24-oxocholan-3-yl","CA","CDCA","chenodeoxycholate/deoxycholate","Deoxycholic acid glycine conjugate","GCA","glycochenodeoxycholate","glycoursodeoxycholate","HCA","hyodeoxycholate/ursodeoxycholate","Isovalerate","LCA","LCA-S","Norca","T-<U+03B2>MCA","taurochenodeoxycholate","taurocholate","taurodeoxycholate","TBA","Valerate","<U+03B1>-hyodeoxycholic acid"
"QCS-008-2f",229744.573339,0.2167,0.1234,0.0929,0.5624,0.005,100.371325581395,308282.85316414,626.110255813953,34426.4619069767,4491.67837209302,825.047372093023,26840.9174418605,3748.00809860465,3652.92534883721,45225.4481162791,2244785.08195349,6112.14593023256,209.688255813954,1227.51751162791,388.889234418605,1057.30481395349,53378.8333023256,0.191,6506423.98031493,16373.9526837209,3919.98037209302,1081.10504651163,55.6605369767442,15.0187674418605,31.2685813953488,9.5183545067904,0.205,25329.684744186
"QCS-008-3f",71146.1188190476,1.0331,1.2113,0.0408,2.1223,6e-04,287.764742857143,17936.1256952381,3352.95331428571,31963.5309904762,1822.44281904762,1520.42763809524,15477.1184952381,167.019167619048,9383.30851428571,62089.6293142857,564641.008285714,296.301561904762,265.044704761905,276.740819047619,440.327109904762,3335.40914285714,96532.5348761905,0.0279,739101.480693257,140556.222381714,852.539180952381,173.223485714286,44.5205196190476,7.73019047619048,98.879219047619,1.76355790716735,0.0204,1789.50548571429
"QCS-010-1f",208092.599697333,1.0245,0.7699,0.0563,1.335,0.0027,67.316623655914,79356.3573763441,341.44023655914,1757.74556989247,1478.4612688172,447.082559139785,441.162946236559,544.572512258064,1686.93789247312,4005.30116129032,970990.158107527,823.509225806452,672.862666666667,552.648989247312,70.0684847311828,3303.9788172043,1910.06176344086,0.0633,787261.659508989,2948.87945333333,939.245247311828,324.668,52.4151365591398,44.8524516129032,22.8436344086021,2.07162310186847,0.1655,3486.27253763441
"QCS-010-2f",155728.797846154,0.1008,0.0453,0.0155,0.0373,0.0016,169.702241758242,32742.2946813187,400.677230769231,2925.03685714286,497.938021978022,804.379318681319,10139.9416263736,490.080373846154,6854.48140659341,111911.57043956,897890.45043956,749.466527472528,285.344857142857,784.834087912088,138.017250989011,270.841054945055,6293.64186813187,0.024,1142230.12496804,3697.27202725275,858.516505494506,142.86632967033,299.365457802198,71.8985274725275,169.624681318681,2.37916444166035,0.0199,2617.27703296703
"QCS-010-3f",328954.697474,0.6849,0.6768,0.1069,1.775,0.0168,103.56847826087,116075.561130435,839.211543478261,2348.5495,1644.5907173913,921.222434782609,5340.98806521739,701.971802173913,19299.2571086957,88619.7109782609,1750226.0388913,1049.18704347826,114.539065217391,443.349804347826,81.9832730434783,1939.64580434783,6815.95663043478,0.1375,1945533.9473688,194.783922173913,1869.37267391304,522.292,32.943982173913,0.0767173913043478,28.9991739130435,4.28114526001802,0.2309,7442.81443478261
"QCS-011-1f",364493.40022,0.5235,0.4734,0.1356,0.7172,0.003,67.4246588235294,299220.791194353,58.1247058823529,631.732517647059,1854.17811764706,68.4210823529412,232.332752941176,293.091338352941,1309.30051764706,3599.16482352941,654198.048611765,331.310823529412,158.016164705882,180.186588235294,58.6469978823529,1464.99169411765,1463.74616470588,0.1813,1122177.2212248,103.514288705882,94.2450588235294,158.929552941176,5.86063105882353,9.71512941176471,12.6213647058824,2.45550539704809,0.2204,3260.38082352941
"QCS-011-2f",3827.1806741573,0.9401,1.7101,0.15,3.5947,0.0034,41.5549662921348,980.982696629213,63.2047865168539,695.966382022472,874.795483146067,1.18955056179775,195.641415730337,5.73601280898876,1369.01408988764,14681.0365168539,171573.080606742,2.85492134831461,192.707191011236,547.510471910112,25.3699413483146,383.669707865169,996.208943820225,0.2326,88918.5079775281,325.259603146067,14.4332134831461,15.1469438202247,89.3733128089888,15.7813707865169,0.158606741573034,0.287685719993708,0.0639,1849.35460674157
"QCS-011-3f",4399.70054545455,0.8853,2.1007,0.0085,0.4028,4e-04,6990.56401818182,4.9406,57838.5134181818,14859.7207090909,465.763836363636,167486.660818182,123279.070309091,4.64095581818182,1588015.86494545,639570.526497,286170.716472727,2.30989090909091,1147.75912727273,555.015454545455,152.038944545455,5376.72023636364,377876.151658,0.0168,7727.8042,59409.0287796364,852.6064,5454.74321818182,551.039875636364,599.801672727273,71.1574727272727,3.34998334963791,0.0924,1120.48958181818
"QCS-012-1f",306800.628034989,0.2227,0.1499,0.0503,0.2149,0.0104,111.897056179775,176909.166516854,328.633168539326,890.259640449438,346.714337078652,933.638584269663,441.799078651685,2296.14662561798,7253.40350561798,4615.932,1399487.1238427,2105.34588764045,17.0502247191011,21.174,41.9189687640449,5276.37047191011,1947.84939325843,0.0785,1875353.46252027,139.531901797753,1636.02853932584,217.449842696629,0.817617752808989,0.0793033707865168,123.316741573034,3.79125908236582,0.0492,3963.34456179775
"QCS-012-2f",373618.086137333,0.7622,0.6084,0.3031,2.2758,1.4975,142.90552688172,153909.100666667,586.876494623656,8135.8249032258,2786.69572043011,182.976752688172,7963.32131182796,749.980803225806,1174.81548387097,14743.9343225806,1518743.70337634,1053.00806451613,74.4505161290322,69.4416129032258,75.969124516129,1558.22425806452,18970.3102580645,0.4478,1787008.1153028,4.36305827956989,2207.18079569892,347.435741935484,0.782451397849462,2.73212903225806,20.2632903225806,3.90877281240443,0.8216,14642.3143010753
