sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
9002000001234064_4yearsFollowUpMGS,EGAN00002854437,SAMEA7985148,EGAR00002588932,EGAX00002368015,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001239202_4yearsFollowUpMGS,EGAN00002854537,SAMEA7985298,EGAR00002588903,EGAX00002367986,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001241407_4yearsFollowUpMGS,EGAN00002854355,SAMEA7985030,EGAR00002588840,EGAX00002367923,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001242988_4yearsFollowUpMGS,EGAN00002854441,SAMEA7985152,EGAR00002588923,EGAX00002368006,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001243214_4yearsFollowUpMGS,EGAN00002854588,SAMEA7985349,EGAR00002588977,EGAX00002368060,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001244042_4yearsFollowUpMGS,EGAN00002854535,SAMEA7985246,EGAR00002588901,EGAX00002367984,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001244089LL_4yearsFollowUpMGS,EGAN00002854536,SAMEA7985297,EGAR00002588902,EGAX00002367985,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001246252_4yearsFollowUpMGS,EGAN00002854406,SAMEA7985117,EGAR00002588812,EGAX00002367895,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001247124_4yearsFollowUpMGS,EGAN00002854416,SAMEA7985127,EGAR00002588802,EGAX00002367885,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001248749_4yearsFollowUpMGS,EGAN00002854573,SAMEA7985334,EGAR00002588960,EGAX00002368043,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001249076_4yearsFollowUpMGS,EGAN00002854333,SAMEA7985008,EGAR00002588860,EGAX00002367943,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
