sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
9002000001353332_4yearsFollowUpMGS,EGAN00002854320,SAMEA7984995,EGAR00002588868,EGAX00002367951,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001356540LL_4yearsFollowUpMGS,EGAN00002854595,SAMEA7985356,EGAR00002588983,EGAX00002368066,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001357654_4yearsFollowUpMGS,EGAN00002854462,SAMEA7985173,EGAR00002589120,EGAX00002368203,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001359499_4yearsFollowUpMGS,EGAN00002854336,SAMEA7985011,EGAR00002588857,EGAX00002367940,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001359819_4yearsFollowUpMGS,EGAN00002854663,SAMEA7985424,EGAR00002589050,EGAX00002368133,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001360100_4yearsFollowUpMGS,EGAN00002854592,SAMEA7985353,EGAR00002588985,EGAX00002368068,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001361192_4yearsFollowUpMGS,EGAN00002854530,SAMEA7985241,EGAR00002588896,EGAX00002367979,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001361675_4yearsFollowUpMGS,EGAN00002854326,SAMEA7985001,EGAR00002588872,EGAX00002367955,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001364710_4yearsFollowUpMGS,EGAN00002854607,SAMEA7985368,EGAR00002588996,EGAX00002368079,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001365670_4yearsFollowUpMGS,EGAN00002854604,SAMEA7985365,EGAR00002588993,EGAX00002368076,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001366180_4yearsFollowUpMGS,EGAN00002854567,SAMEA7985328,EGAR00002588954,EGAX00002368037,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001366751_4yearsFollowUpMGS,EGAN00002854363,SAMEA7985038,EGAR00002588830,EGAX00002367913,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001367051_4yearsFollowUpMGS,EGAN00002854337,SAMEA7985012,EGAR00002588856,EGAX00002367939,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001367982_4yearsFollowUpMGS,EGAN00002854345,SAMEA7985020,EGAR00002588847,EGAX00002367930,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001369109_4yearsFollowUpMGS,EGAN00002854545,SAMEA7985306,EGAR00002588908,EGAX00002367991,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
